date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:27	208/208	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Oct%202019%2007:32:42%20GMT	https://demo.pixel-mafia.com/robots.txt		(from )
14:31:28	108411/108411	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Oct%202019%2007:32:43%20GMT	https://demo.pixel-mafia.com/wp/vincent/	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/index.html	(from )
14:31:29	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2010%20Oct%202019%2007:32:44%20GMT	https://demo.pixel-mafia.com/wp/vincent/xmlrpc.php	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/xmlrpc.php	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:31	147378/147378	---M--	200	added ('OK')	image/png	etag:%2223fb2-58ee2e4847afd%22	https://demo.pixel-mafia.com/wp/vincent/wp-content/uploads/2017/02/back_2.png	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/wp-content/uploads/2017/02/back_2.png	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:31	29295/29295	---MCZ	200	added ('OK')	text/css	etag:W/%225d400bb8-726f%22	https://demo.pixel-mafia.com/wp/vincent/wp-includes/css/dist/block-library/style.min.css?ver=5.2.3	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/wp-includes/css/dist/block-library/style.min2513.css	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:31	6991/6991	---MC-	200	added ('OK')	application/rss+xml	etag:%2289a0a7dc8120e86052cc9f3c6f9afb02%22	https://demo.pixel-mafia.com/wp/vincent/comments/feed/	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/comments/feed/index.html	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:31	6362/6362	---MCZ	200	added ('OK')	text/css	etag:W/%225d4011a1-18da%22	https://demo.pixel-mafia.com/wp/vincent/wp-content/plugins/woocommerce/assets/css/blocks/style.css?ver=3.6.5	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/wp-content/plugins/woocommerce/assets/css/blocks/style3ab2.css	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:32	21356/21356	---MC-	200	added ('OK')	application/rss+xml	etag:%2222b71b6abe2b91623831a77b9517ea79%22	https://demo.pixel-mafia.com/wp/vincent/feed/	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/feed/index.html	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:32	1685/1685	---M--	200	added ('OK')	text/css	etag:%225d4be77f-695%22	https://demo.pixel-mafia.com/wp/vincent/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:32	183/183	---M--	200	added ('OK')	text/css	etag:%225d401191-b7%22	https://demo.pixel-mafia.com/wp/vincent/wp-content/plugins/pm-instagram/core/pm-instagram.css?ver=5.2.3	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/wp-content/plugins/pm-instagram/core/pm-instagram2513.css	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:33	56049/56049	---MCZ	200	added ('OK')	text/css	etag:W/%225d4becfd-daf1%22	https://demo.pixel-mafia.com/wp/vincent/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.0.9	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/wp-content/plugins/revslider/public/assets/css/rs6bfbf.css	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:33	16542/16542	---MCZ	200	added ('OK')	text/css	etag:W/%225d4011a1-409e%22	https://demo.pixel-mafia.com/wp/vincent/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.6.5	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/wp-content/plugins/woocommerce/assets/css/woocommerce-layout3ab2.css	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:33	6758/6758	---MCZ	200	added ('OK')	text/css	etag:W/%225d4011a1-1a66%22	https://demo.pixel-mafia.com/wp/vincent/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.6.5	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen3ab2.css	(from https://demo.pixel-mafia.com/wp/vincent/)
14:31:34	62586/62586	---MCZ	200	added ('OK')	text/css	etag:W/%225d4011a1-f47a%22	https://demo.pixel-mafia.com/wp/vincent/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.6.5	D:/winHTT/abc/demo.pixel-mafia.com/wp/vincent/wp-content/plugins/woocommerce/assets/css/woocommerce3ab2.css	(from https://demo.pixel-mafia.com/wp/vincent/)
